drug_name_original,drug_name_cleaned,pubchem_cid,mapping_status
Rucaparib,Rucaparib,9931954.0,tier1_precomputed
Ruxolitinib,Ruxolitinib,25126798.0,tier1_precomputed
SB216763,SB216763,176158.0,tier1_precomputed
SB505124,SB505124,9858940.0,tier1_precomputed
SB590885,SB-590885,135564599.0,tier1_precomputed
SCH772984,SCH772984,24866313.0,tier1_precomputed
SGC-CBP30,SGC-CBP30,72201027.0,tier1_precomputed
SGC0946,SGC0946,56962337.0,tier1_precomputed
SL0101,SL0101,10459196.0,tier1_precomputed
SN-38,SN-38,104842.0,tier1_precomputed
Sabutoclax,Sabutoclax,46236925.0,tier1_precomputed
Sapitinib,Sapitinib,11488320.0,tier1_precomputed
Savolitinib,Savolitinib,68289010.0,tier1_precomputed
Schweinfurthin A,Schweinfurthin A,643462.0,tier1_precomputed
Selumetinib,Selumetinib,10127622.0,tier1_precomputed
Sepantronium bromide,Sepantronium bromide,11178236.0,tier1_precomputed
Serdemetan,Serdemetan,11609586.0,tier1_precomputed
Sinularin,Sinularin,5477029.0,tier1_precomputed
Sorafenib,Sorafenib,216239.0,tier1_precomputed
Staurosporine,Staurosporine,44259.0,tier1_precomputed
TAF1_5496,TAF1_5496,,failed
THR-101,THR-101,123628.0,tier1_precomputed
THR-102,THR-102,,failed
THR-103,THR-103,,failed
TW 37,TW 37,11455910.0,tier1_precomputed
Talazoparib,Talazoparib,135565082.0,tier1_precomputed
Tamoxifen,Tamoxifen,2733526.0,tier1_precomputed
Tanespimycin,Tanespimycin,6505803.0,tier1_precomputed
Taselisib,Taselisib,51001932.0,tier1_precomputed
Telomerase Inhibitor IX,Telomerase Inhibitor IX,10385095.0,tier1_precomputed
Temozolomide,Temozolomide,5394.0,tier1_precomputed
Temsirolimus,Temsirolimus,6918289.0,tier1_precomputed
Teniposide,Teniposide,452548.0,tier1_precomputed
Topotecan,Topotecan,60700.0,tier1_precomputed
Tozasertib,Tozasertib,5494449.0,tier1_precomputed
Trametinib,Trametinib,11707110.0,tier1_precomputed
Tretinoin,Tretinoin,444795.0,tier1_precomputed
ULK1_4989,ULK1_4989,,failed
UMI-77,UMI-77,992586.0,tier1_precomputed
UNC0379,UNC0379,78357767.0,tier1_precomputed
UNC0638,UNC0638,46224516.0,tier1_precomputed
Ulixertinib,Ulixertinib,11719003.0,tier1_precomputed
Uprosertib,Uprosertib,51042438.0,tier1_precomputed
VE-822,VE-822,59472121.0,tier1_precomputed
VE821,VE821,51000408.0,tier1_precomputed
VSP34_8731,VSP34_8731,,failed
VTP-A,VTP-A,,failed
VTP-B,VTP-B,,failed
