gene,stability_score
RTL8C,0.15
GPSM3,0.15
PTGFRN,0.15
LAIR1,0.15
ESM1,0.15
PHGR1,0.15
TFPI2,0.15
NDRG4,0.15
FAM241B,0.15
BICDL1,0.15
KDELR3,0.15
OLR1,0.15
GNA15,0.15
CXCL1,0.15
NR2F1,0.15
DNAJA4,0.15
HMCN1,0.15
PGAP4,0.15
IRX2,0.15
FABP1,0.15
ENO2,0.15
LY6D,0.15
HMOX1,0.15
MMP14,0.15
MAP2,0.15
KIT,0.15
SH3RF2,0.15
IGFBP7,0.15
ID4,0.15
FCHO1,0.15
CD59,0.15
HKDC1,0.15
TSPYL5,0.15
RBP1,0.15
TNFAIP3,0.15
GPRC5B,0.15
FBXO2,0.15
PON2,0.15
KLK8,0.15
ITPRIPL1,0.15
BLNK,0.15
DSC3,0.15
PLCB4,0.15
TNFSF10,0.15
PTPRK,0.15
DCBLD2,0.15
TUBA4A,0.15
ZNF703,0.15
NT5E,0.15
FBN1,0.15
MMP28,0.15
PTPRS,0.15
RAMP1,0.15
PDE1C,0.15
TLE4,0.15
CGN,0.15
MEIS3,0.15
SLFN11,0.15
CSAG1,0.15
PLBD1,0.15
IL1B,0.15
ZC4H2,0.15
DUSP1,0.15
RCN1,0.15
CEP15,0.15
OAF,0.15
MYC,0.15
GATM,0.15
TACSTD2,0.15
NDRG2,0.15
CYP2S1,0.15
BMP7,0.15
PMEL,0.15
GALNT3,0.15
AKAP12,0.15
DIRAS1,0.15
MMP1,0.15
ANXA6,0.15
LMO3,0.15
FAR2,0.15
EPHX1,0.15
ADAMTS1,0.15
CD274,0.15
MUC1,0.15
CXCL5,0.15
SPOCD1,0.15
SOX4,0.15
H1-0,0.15
PRSS3,0.15
FOSB,0.15
RNF212,0.15
CD200,0.15
CHST11,0.15
G0S2,0.15
MACC1,0.15
IQGAP2,0.15
SERPINE1,0.15
ANXA8,0.15
CRACR2B,0.15
MYEOV,0.15
UCHL1,0.15
PLEKHA7,0.15
LMO2,0.15
CDH2,0.15
SPHK1,0.15
MILR1,0.15
RUNX3,0.15
LSR,0.15
GGT1,0.15
CBFA2T3,0.15
SNRPN,0.15
QPRT,0.15
NFIX,0.15
NIBAN1,0.15
CRIP2,0.15
VLDLR,0.15
PARP10,0.15
FXYD2,0.15
SELENBP1,0.15
LYPD1,0.15
SERPINA1,0.15
RRAD,0.15
SNCA,0.15
FCGR2A,0.15
RHOD,0.15
SAA1,0.15
SLC2A3,0.15
TOX3,0.15
IGFN1,0.15
STC2,0.15
TPM2,0.15
DNM1,0.15
EDN1,0.15
VAMP8,0.15
NUPR1,0.15
KISS1,0.15
DHRS9,0.15
GABRE,0.15
CLIP4,0.15
UCP2,0.15
SLITRK6,0.15
CSPG4,0.15
CRABP1,0.15
FAS,0.15
WDR72,0.15
CARD16,0.15
PSD4,0.15
ST3GAL6,0.15
TLE2,0.15
PHLDA3,0.15
VGLL1,0.15
ALDH2,0.15
FMN2,0.15
MATN2,0.15
CYTL1,0.15
FAM221A,0.15
MYO15B,0.15
PLEKHG4,0.15
LSP1,0.15
TCF7,0.15
MBP,0.15
ANTXR2,0.15
ARMCX2,0.15
PDGFB,0.15
IFITM1,0.15
TIMP3,0.15
CRYBG1,0.15
C1S,0.15
UCN2,0.15
OLFML3,0.15
BCL2A1,0.15
SLC12A7,0.15
LGALS9,0.15
NRSN2,0.15
LOXL1,0.15
COL1A1,0.15
PALLD,0.15
CTSF,0.15
C1R,0.15
TGFB1I1,0.15
CA12,0.15
TSPAN13,0.15
GALNT14,0.15
OCIAD2,0.15
FADS2,0.15
CCBE1,0.15
FADS1,0.15
EMB,0.15
ARMCX1,0.15
NELL2,0.15
NRG1,0.15
EPB41L3,0.15
SVIP,0.15
AHNAK2,0.15
ZNF626,0.15
NTN4,0.15
CERCAM,0.15
RHOBTB3,0.125
MAP1LC3A,0.125
COL1A2,0.125
SERPING1,0.125
LOXL3,0.125
EEF1A2,0.125
GAGE2A,0.125
PRUNE2,0.125
FUCA2,0.125
DLX1,0.125
ALPK2,0.125
CSF1,0.125
PIR,0.125
IGLL5,0.125
EGLN3,0.125
SPRY2,0.125
SEL1L3,0.125
LPAR1,0.125
TUBB6,0.125
GPC4,0.125
PKIA,0.125
SLC16A2,0.125
FOXD1,0.125
SATB1,0.125
SYTL1,0.125
TNS3,0.125
FAM171A1,0.125
CXCL12,0.125
FERMT1,0.125
TMC6,0.125
MCF2L,0.125
B3GNT5,0.125
RHOB,0.125
DBNDD2,0.125
AKR1C3,0.125
ELL2,0.125
RTN1,0.125
HID1,0.125
UPK1B,0.125
PARVB,0.125
HSPB1,0.125
FMNL1,0.125
CDH17,0.125
CCN3,0.125
TRPM2,0.125
